n,M,c,limit_p1_squared,spectral_lower,srm,q_l1,lambda_max,helstrom_upper,rank,hypothesis_count,rank_threshold,gram_lambda_min,gram_lambda_max,weighted_gram_lambda_min,weighted_gram_lambda_max,prior_min,prior_max,solver,cvxpy_version,primal_status,dual_status,primal_objective,dual_objective,signed_gap,absolute_gap,relative_signed_gap,relative_gap,primal_equality_residual_fro_raw,primal_equality_residual_fro,primal_equality_residual_op,primal_psd_violation,dual_psd_violation,complementarity_residual,primal_feasible_objective,dual_feasible_objective,feasible_bound_gap,relative_feasible_bound_gap,primal_safety_contraction,primal_regularization_floor,dual_safety_shift,dual_feasible_min_slack,primal_feasible_equality_residual_fro,primal_feasible_equality_residual_op,primal_feasible_psd_violation,primal_feasible_min_eigenvalue,dual_feasible_psd_violation,primal_feasible_combined_violation,primal_iterations,dual_iterations,primal_solve_time_seconds,dual_solve_time_seconds,sdp_lower,sdp_upper,sdp_opt,sdp_status,sdp_lower_minus_srm,sdp_upper_minus_srm,sdp_minus_srm,sdp_minus_limit,product_srm,product_spectral_lower
3,6,0.3,0.9094942949273094,0.9534223416754768,0.9534937365687811,0.007091666091334603,1.8588896759075961,0.9630911975473802,6,6,1e-12,0.46904829171885887,1.8588896759075961,0.07817471528647647,0.30981494598459913,0.16666666666666666,0.16666666666666666,CLARABEL,1.9.2,optimal,optimal,0.9534962602567708,0.9534962594095354,-8.472353929533938e-10,8.472353929533938e-10,-8.885565981157039e-10,8.885565981157039e-10,6.066382166848021e-12,1.7586317453297994e-12,4.076864769120695e-12,0.0,2.8223033786840093e-10,8.466501253445859e-10,0.9534962602543058,0.9534962611049638,8.506579884937082e-10,8.921461190496696e-10,0.9999999999976108,3.410605131659006e-13,2.825713983815658e-10,3.410207848394952e-13,2.0551693925790358e-16,1.463761062037781e-16,0.0,4.501300067342504e-12,0.0,1.463761062037781e-16,10,9,0.0192490000044927,0.008924799971282482,0.9534962602543058,0.9534962611049638,0.9534962611049638,optimal,2.5236855246690837e-06,2.5245361826575774e-06,2.5245361826575774e-06,0.044001966177654395,0.9541204886813031,0.9540425457316479
4,10,0.3,0.9094942949273094,0.9439595202362936,0.9440469278490994,0.008344044823011362,2.163305560031947,0.956232091472265,10,10,1e-12,0.4012181229596972,2.163305560031947,0.04012181229596971,0.21633055600319456,0.1,0.1,CLARABEL,1.9.2,optimal,optimal,0.9440496213166416,0.9440496221832593,8.666176665172998e-10,8.666176665172998e-10,9.179789351653806e-10,9.179789351653806e-10,4.930007361803056e-16,1.1844494203213772e-16,2.6224563535620484e-16,1.7166083706748883e-10,7.638966243377839e-11,8.66617783735764e-10,0.9440496212965136,0.9440496229528402,1.6563266314051361e-09,1.75449106973573e-09,0.9999999999937448,5.684341887056581e-13,7.695809662238647e-11,5.684688034561789e-13,4.453427434988931e-16,2.6878226584374195e-16,0.0,5.68393030410912e-13,0.0,2.6878226584374195e-16,10,11,0.16382599994540215,0.06672070000786334,0.9440496212965136,0.9440496229528402,0.9440496229528402,optimal,2.6934474142148446e-06,2.6951037408462497e-06,2.6951037408462497e-06,0.03455532802553085,0.9451320183076574,0.9450325333301666
5,15,0.3,0.9094942949273094,0.9376779504127277,0.9377673939682062,0.00812579415576524,2.400588520547905,0.9502679199415045,15,15,1e-12,0.36557255960488294,2.400588520547905,0.024371503973658858,0.16003923470319364,0.06666666666666667,0.06666666666666667,CLARABEL,1.9.2,optimal,optimal,0.9377698824883297,0.9377698865447065,4.056376790018135e-09,4.056376790018135e-09,4.325556681860671e-09,4.325556681860671e-09,9.318465823892987e-16,1.9122712231605376e-16,4.873825709619975e-16,2.506015779826122e-10,4.934569937425639e-11,4.056376729520021e-09,0.9377698824083769,0.9377698872976816,4.889304738853184e-09,5.2137574663313635e-09,0.9999999999863549,8.526512834243703e-13,5.019835065716851e-11,8.525905913338533e-13,7.488674898882193e-16,3.3990080749731744e-16,0.0,8.526446203271854e-13,0.0,3.3990080749731744e-16,11,11,0.7448369000339881,0.4828027000185102,0.9377698824083769,0.9377698872976816,0.9377698872976816,optimal,2.488440170700379e-06,2.493329475439232e-06,2.493329475439232e-06,0.02827559237037225,0.9391607814157082,0.9390546493218893
6,21,0.3,0.9094942949273094,0.9332186102329252,0.9333044553384526,0.007503361619468088,2.586506872615366,0.9452859820922513,21,21,1e-12,0.34467301446627197,2.586506872615366,0.016413000688870097,0.12316699393406508,0.047619047619047616,0.047619047619047616,CLARABEL,1.9.2,optimal,optimal,0.9333066759096851,0.9333066746164247,-1.2932603876691928e-09,1.2932603876691928e-09,-1.3856757076174175e-09,1.3856757076174175e-09,1.4003473936949716e-12,2.508425268573181e-13,1.0383637409430185e-12,3.5118373347155833e-11,9.321625707763842e-11,1.2932289490279744e-09,0.933306675876797,0.933306676599034,7.222369369230819e-10,7.738473915501828e-10,0.9999999999737355,1.1937117961908258e-12,9.440996887371538e-11,1.1937366020721034e-12,9.656332700217941e-16,4.216709715696231e-16,0.0,1.1937016440607608e-12,0.0,4.216709715696231e-16,11,12,10.958887499989942,8.77159399993252,0.933306675876797,0.933306676599034,0.933306676599034,optimal,2.2205383444218185e-06,2.2212605813587416e-06,2.2212605813587416e-06,0.023812381671724614,0.9349046454435784,0.934798496226824
7,28,0.3,0.9094942949273094,0.9298974056712782,0.9299776374665688,0.007436701668603295,2.7338668846482843,0.9421935525395844,28,28,1e-12,0.33139481476002663,2.7338668846482843,0.011835529098572372,0.09763810302315298,0.03571428571428571,0.03571428571428571,CLARABEL,1.9.2,optimal,optimal,0.9299795918273153,0.9299795957023095,3.874994214392302e-09,3.874994214392302e-09,4.1667518732376306e-09,4.1667518732376306e-09,5.078468555834541e-13,8.071948564357232e-14,2.169213859292726e-13,2.2814772068709035e-10,4.181847392210518e-11,3.874996724758519e-09,0.9299795917669589,0.929979596917792,5.1508330933813795e-09,5.538651734636966e-09,0.9999999999538296,1.5916157287211093e-12,4.3410089650207804e-11,1.5916307468363676e-12,1.2201208833374774e-15,4.900096018509331e-16,0.0,1.5916196246504558e-12,0.0,4.900096018509331e-16,12,13,85.902585899923,83.01027489989065,0.9299795917669589,0.929979596917792,0.929979596917792,optimal,1.954300390072383e-06,1.9594512231657646e-06,1.9594512231657646e-06,0.020485301990482596,0.9317170600839889,0.9316137992878069
3,6,0.6,0.6320926689144148,0.7952358130629438,0.795926130396297,0.024385407762661293,3.201216967736247,0.8388660505728458,6,6,1e-12,0.15356629280456752,3.201216967736247,0.025594382134094568,0.5335361612893744,0.16666666666666666,0.16666666666666666,CLARABEL,1.9.2,optimal,optimal,0.7960465284800385,0.7960465301742956,1.6942570679745472e-09,1.6942570679745472e-09,2.128339243444179e-09,2.128339243444179e-09,5.357614205963405e-13,1.5531613674666793e-13,3.1403916571220673e-13,4.2824324876125346e-10,7.47645114487739e-11,1.6941819038256957e-09,0.7960465282775665,0.7960465306249291,2.34736263760027e-09,2.948775669204182e-09,0.999999999997611,3.4106051348724163e-13,7.510557196193875e-11,3.410614623047125e-13,2.8312711727933406e-16,2.267381519667127e-16,0.0,3.4103650624639253e-13,0.0,2.267381519667127e-16,9,10,0.04041679995134473,0.028028400032781065,0.7960465282775665,0.7960465306249291,0.7960465306249291,optimal,0.00012039788126949613,0.00012040022863213373,0.00012040022863213373,0.1639538617105143,0.8037828007610329,0.8028180831550643
4,10,0.6,0.6320926689144148,0.7548669920526657,0.7556634950548615,0.027418187592310073,4.363776130304457,0.8121426352155637,10,10,1e-12,0.1086145623856755,4.363776130304457,0.010861456238567562,0.4363776130304457,0.1,0.1,CLARABEL,1.9.2,optimal,optimal,0.7557846157470582,0.7557846161152375,3.68179264853552e-10,3.68179264853552e-10,4.871483979598405e-10,4.871483979598405e-10,5.9448172465875685e-16,1.4282606140088882e-16,3.314870818029404e-16,1.3492395663673333e-10,9.942307328987544e-11,3.711004558969675e-10,0.7557846156602752,0.7557846171151524,1.4548772186984138e-09,1.924989192889405e-09,0.9999999999937443,5.68434188884885e-13,9.999150747848352e-11,5.68423563426783e-13,4.863977942311576e-16,2.9538987173707854e-16,0.0,5.684121270220266e-13,0.0,2.9538987173707854e-16,11,11,0.49370260001160204,0.19843330001458526,0.7557846156602752,0.7557846171151524,0.7557846171151524,optimal,0.00012112060541369374,0.00012112206029091244,0.00012112206029091244,0.12369194820073759,0.7681810734466435,0.7669085354060367
5,15,0.6,0.6320926689144148,0.7290631073841807,0.7298537162813579,0.025498471798539105,5.482796404989575,0.7887687273496221,15,15,1e-12,0.0906105493055555,5.482796404989575,0.006040703287037043,0.36551976033263794,0.06666666666666667,0.06666666666666667,CLARABEL,1.9.2,optimal,optimal,0.7299592741797207,0.7299592739746708,-2.0504997699788419e-10,2.0504997699788419e-10,-2.8090605089866897e-10,2.8090605089866897e-10,9.40599375606087e-13,1.9302331011209877e-13,5.531389481476623e-13,6.818550199229368e-11,7.716400949378182e-11,2.0570128102020004e-10,0.729959274109919,0.7299592751449208,1.035001750970821e-09,1.417889719257418e-09,0.9999999999863547,8.526512831804358e-13,7.801666077669394e-11,8.526478427893635e-13,7.110676281976306e-16,3.2903217583356486e-16,0.0,8.526308041368109e-13,0.0,3.2903217583356486e-16,11,13,2.1592642999021336,1.1604047000873834,0.729959274109919,0.7299592751449208,0.7299592751449208,optimal,0.00010555782856114249,0.00010555886356289346,0.00010555886356289346,0.09786660623050591,0.7448675495249908,0.7434765484651669
6,21,0.6,0.6320926689144148,0.7113676550236523,0.7121125082517142,0.0245359925506922,6.532956470036648,0.7740807902899302,21,21,1e-12,0.08157298830219147,6.532956470036648,0.0038844280143900643,0.31109316523984054,0.047619047619047616,0.047619047619047616,CLARABEL,1.9.2,optimal,optimal,0.7122012452143299,0.7122012443557325,-8.585974153874076e-10,8.585974153874076e-10,-1.2055544997630047e-09,1.2055544997630047e-09,1.0684908901273285e-12,1.913974746625949e-13,8.255086942530328e-13,3.36984184662274e-11,7.242801505014728e-11,8.585347230152936e-10,0.7122012451753678,0.7122012459017888,7.264210344359867e-10,1.0199659702738307e-09,0.9999999999737332,1.1937117963140115e-12,7.362172684622425e-11,1.1937047825449034e-12,9.030331805357346e-16,3.516594725731855e-16,0.0,1.1936956536914007e-12,0.0,3.516594725731855e-16,14,14,14.143026700010523,9.503340999945067,0.7122012451753678,0.7122012459017888,0.7122012459017888,optimal,8.87369236535207e-05,8.873765007455514e-05,8.873765007455514e-05,0.08010857698737395,0.7283956505024092,0.7269799098518348
7,28,0.6,0.6320926689144148,0.6985879279383108,0.6992765629026584,0.02597892232163425,7.504699084037233,0.7697564214587407,28,28,1e-12,0.07635731017450559,7.504699084037233,0.002727046791946615,0.26802496728704406,0.03571428571428571,0.03571428571428571,CLARABEL,1.9.2,optimal,optimal,0.6993508980236821,0.6993509048054016,6.7817195192887425e-09,6.7817195192887425e-09,9.697162762744283e-09,9.697162762744283e-09,1.402965009557866e-15,2.229936302693731e-16,5.249382740840796e-16,2.237708101393727e-10,1.0167802188475613e-11,6.781719681577907e-09,0.6993508978457872,0.6993509051346654,7.2888781676994086e-09,1.0422347568534983e-08,0.9999999999538323,1.5916157306933803e-12,1.1759417916578238e-11,1.5915959542653232e-12,1.2132851983666932e-15,5.020915232451015e-16,0.0,1.5916068230882807e-12,0.0,5.020915232451015e-16,13,14,92.25569849996828,51.36705980007537,0.6993508978457872,0.6993509051346654,0.6993509051346654,optimal,7.433494312880651e-05,7.434223200697421e-05,7.434223200697421e-05,0.06725823622025051,0.7161320395043967,0.7147370106806469
