schedule,c,r,N,i,n,target,srm,trace_lower_bound,helstrom_upper,srm_minus_target
fixed_i2,0.5,0.25,10,2,11,0.9180942276413031,0.9685909154807328,0.9685829170896287,0.971756405781646,0.05049668783942973
sqrt_growth,0.5,0.25,10,4,13,0.9681198182453165,0.9713147263968299,0.9713047554890497,0.9745678050850424,0.0031949081515134647
balanced_growth,0.5,0.25,10,5,14,0.9681198182453165,0.971320398515657,0.9713104189411623,0.9745692353020817,0.003200580270340536
fixed_i2,0.5,0.25,20,2,21,0.9180942276413031,0.9635005675706049,0.9634964547527767,0.9654742482519435,0.045406339929301764
sqrt_growth,0.5,0.25,20,5,24,0.9681198182453165,0.9697190312382593,0.969713385600216,0.9715772963292224,0.0015992129929428556
balanced_growth,0.5,0.25,20,10,29,0.9681198182453165,0.9697202339802935,0.9697145877067542,0.9715746738076226,0.0016004157349770454
fixed_i2,0.5,0.25,40,2,41,0.9180942276413031,0.9577612663228523,0.9577593273797156,0.9589688922222778,0.039667038681549194
sqrt_growth,0.5,0.25,40,7,46,0.9681198182453165,0.9689200146185243,0.9689170274293354,0.9699040059669851,0.0008001963732078288
balanced_growth,0.5,0.25,40,20,59,0.9681198182453165,0.9689200261130555,0.9689170389213707,0.9699036725301037,0.0008002078677390445
fixed_i2,0.5,0.25,80,2,81,0.9180942276413031,0.951411240318101,0.951410358758309,0.952165257316712,0.033317012676797875
sqrt_growth,0.5,0.25,80,9,88,0.9681198182453165,0.9685199220747747,0.9685183874652131,0.9690255724043831,0.0004001038294582093
balanced_growth,0.5,0.25,80,40,119,0.9681198182453165,0.9685199221791857,0.9685183875696148,0.9690255451241718,0.0004001039338692447
fixed_i2,0.8,0.6400000000000001,10,2,11,0.537567703370098,0.7451058664573816,0.7449604888386452,0.7702014150576382,0.20753816308728368
sqrt_growth,0.8,0.6400000000000001,10,4,13,0.7617480461234075,0.7828203080130764,0.7823987140357994,0.8188991867921029,0.02107226188966893
balanced_growth,0.8,0.6400000000000001,10,5,14,0.7617480461234075,0.7853507467139506,0.784889376196649,0.8221788234327515,0.023602700590543035
fixed_i2,0.8,0.6400000000000001,20,2,21,0.537567703370098,0.6996666824930095,0.6996054844722499,0.7166422798624549,0.1620989791229115
sqrt_growth,0.8,0.6400000000000001,20,5,24,0.7617480461234075,0.7704187701655716,0.7701578498794983,0.7950805539712091,0.008670724042164069
balanced_growth,0.8,0.6400000000000001,20,10,29,0.7617480461234075,0.7740303873667795,0.7737418229890959,0.7981011125899338,0.01228234124337202
fixed_i2,0.8,0.6400000000000001,40,2,41,0.537567703370098,0.661140774542759,0.661115286670266,0.6724051210717922,0.12357307117266103
sqrt_growth,0.8,0.6400000000000001,40,7,46,0.7617480461234075,0.7666410765964227,0.7664897782426331,0.7818311890646512,0.0048930304730151475
balanced_growth,0.8,0.6400000000000001,40,20,59,0.7617480461234075,0.7678988724063904,0.7677427042016781,0.7819324826409517,0.006150826282982913
fixed_i2,0.8,0.6400000000000001,80,2,81,0.537567703370098,0.6298261632626951,0.6298151165676663,0.6375878929487656,0.09225845989259718
sqrt_growth,0.8,0.6400000000000001,80,9,88,0.7617480461234075,0.7643745574630273,0.7642943822614985,0.7726581043743942,0.002626511339619775
balanced_growth,0.8,0.6400000000000001,80,40,119,0.7617480461234075,0.7648234615461792,0.7647424404893127,0.7723607148305561,0.003075415422771677
fixed_i2,0.95,0.9025,10,2,11,0.15719635235981694,0.4023586573990916,0.402198548916505,0.44866672966626286,0.24516230503927466
sqrt_growth,0.95,0.9025,10,4,13,0.3947555341510048,0.44480140671871615,0.4439384768014527,0.5399527502221775,0.05004587256771137
balanced_growth,0.95,0.9025,10,5,14,0.3947555341510048,0.45263123510756287,0.45147007239134185,0.5595107515996924,0.057875700956558085
fixed_i2,0.95,0.9025,20,2,21,0.15719635235981694,0.32862085853209316,0.32855833849962873,0.3622149730640079,0.17142450617227623
sqrt_growth,0.95,0.9025,20,5,24,0.3947555341510048,0.4002928161825475,0.3997127706930653,0.49310797157087694,0.00553728203154269
balanced_growth,0.95,0.9025,20,10,29,0.3947555341510048,0.4242724322476022,0.42311151800085156,0.5466399072244705,0.02951689809659741
fixed_i2,0.95,0.9025,40,2,41,0.15719635235981694,0.2769305736601263,0.27690482140478995,0.30210332624041697,0.11973422130030936
sqrt_growth,0.95,0.9025,40,7,46,0.3947555341510048,0.3841150432987904,0.38369388074856414,0.46843631750067444,-0.010640490852214357
balanced_growth,0.95,0.9025,40,20,59,0.3947555341510048,0.41091053008912437,0.4100961578706793,0.5129613049355887,0.016154995938119587
fixed_i2,0.95,0.9025,80,2,81,0.15719635235981694,0.24085883814357906,0.24084748412211746,0.25992621906258945,0.08366248578376212
sqrt_growth,0.95,0.9025,80,9,88,0.3947555341510048,0.3766380021860589,0.3763785956030274,0.44322747462458545,-0.018117531964945865
balanced_growth,0.95,0.9025,80,40,119,0.3947555341510048,0.40316325394834884,0.40270465956709683,0.46897117600164434,0.00840771979734406
