n,tau,trace_amplitude,sector_trace_amplitude,target,min_full_minus_sector,max_full_minus_sector,rms_full_minus_sector,mean_full_minus_sector,rms_full_target,rms_sector_target,max_full_eta,max_sector_eta,retained_min_gram_slack,retained_min_root_diagonal_slack,retained_trace_gap_over_sqrt_M,b1_vacuum_orthogonality,b2_additive_orthogonality
12,0.25,1.44292972,1.5349124,1.35413233,-0.295782856,0.199025233,0.173617717,-0.0919826885,0.105208327,0.245704897,1.66725954,1.9630424,-5.85198063e-16,0.00398768376,0.136272033,3.99408809e-14,1.12465931e-14
12,1,1.96536393,2.18274218,1.77990956,-0.651545142,0.468630444,0.389479181,-0.217378246,0.221155386,0.542118876,2.4345246,3.08606975,-5.98039872e-16,0.0147468609,0.41037676,3.99408809e-14,1.12465931e-14
12,4,3.16584661,3.61057368,2.84639871,-0.949588868,0.983775593,0.741776894,-0.444727076,0.39594001,1.00512511,4.05018564,4.91320684,-1.41884475e-15,0.0510433175,1.49008208,3.99408809e-14,1.12465931e-14
18,0.25,1.42654875,1.50345299,1.35413233,-0.257121778,0.187012279,0.147723139,-0.0769042334,0.0916838753,0.214426578,1.68416612,1.9412879,-1.12025055e-15,0.0020447185,0.117480286,6.35734295e-14,1.81753046e-14
18,1,1.9359658,2.12437207,1.77990956,-0.599619344,0.462085126,0.340830379,-0.188406269,0.198840028,0.486656144,2.49926311,3.09888246,-1.12049436e-15,0.00792784342,0.350832861,6.35734295e-14,1.81753046e-14
18,4,3.14253842,3.56725845,2.84639871,-0.973562396,1.09861731,0.707031749,-0.424720026,0.394169952,0.992377436,4.32487804,5.29770624,-2.67069101e-15,0.0299895438,1.22841569,6.35734295e-14,1.81753046e-14
24,0.25,1.41769274,1.48661734,1.35413233,-0.235556787,0.176583988,0.133461874,-0.0689246082,0.0847479648,0.197002047,1.69366629,1.92922307,-1.67417841e-15,0.00134488042,0.107392816,7.33113815e-14,5.57649793e-14
24,1,1.91931204,2.0912463,1.77990956,-0.565812739,0.447213202,0.312149554,-0.171934259,0.186629208,0.453123197,2.53637011,3.10218285,-1.61134684e-15,0.00518045182,0.320009103,7.33113815e-14,5.57649793e-14
24,4,3.12440508,3.53101285,2.84639871,-1.01490551,1.12615931,0.675782493,-0.406607761,0.388835363,0.967810646,4.48846845,5.50337396,-4.07293609e-15,0.019410964,1.10572245,7.33113815e-14,5.57649793e-14
32,0.25,1.41057632,1.47305402,1.35413233,-0.21750568,0.166049269,0.121697889,-0.0624776996,0.0792502701,0.182399213,1.70166016,1.91916584,-2.25442695e-15,0.000897191897,0.0991828523,1.66227936e-13,1.7334405e-13
32,1,1.90558547,2.06359473,1.77990956,-0.53485299,0.42880876,0.287598646,-0.15800926,0.176502689,0.423678578,2.56777544,3.10262843,-2.19826308e-15,0.00349371117,0.295459415,1.66227936e-13,1.7334405e-13
32,4,3.10734749,3.49495788,2.84639871,-1.03697969,1.12698234,0.643759494,-0.38761039,0.381736349,0.937366308,4.62983199,5.66681168,-4.48997073e-15,0.013125867,1.01297826,1.66227936e-13,1.7334405e-13
