c,pi0,N,i,rank,hypothesis_count,rank_threshold,gram_lambda_min,gram_lambda_max,weighted_gram_lambda_min,weighted_gram_lambda_max,prior_min,prior_max,solver,cvxpy_version,primal_status,dual_status,primal_objective,dual_objective,signed_gap,absolute_gap,relative_signed_gap,relative_gap,primal_equality_residual_fro_raw,primal_equality_residual_fro,primal_equality_residual_op,primal_psd_violation,dual_psd_violation,complementarity_residual,primal_feasible_objective,dual_feasible_objective,feasible_bound_gap,relative_feasible_bound_gap,primal_safety_contraction,primal_regularization_floor,dual_safety_shift,dual_feasible_min_slack,primal_feasible_equality_residual_fro,primal_feasible_equality_residual_op,primal_feasible_psd_violation,primal_feasible_min_eigenvalue,dual_feasible_psd_violation,primal_feasible_combined_violation,primal_iterations,dual_iterations,primal_solve_time_seconds,dual_solve_time_seconds
0.5,0.2,3,1,4,4,1e-12,0.34861218113400255,2.151387818865997,0.076393202250021,0.5236067977499788,0.2,0.26666666666666666,CLARABEL,1.9.2,optimal,optimal,0.9053918818423361,0.90539188321984,1.3775038887331448e-09,1.3775038887331448e-09,1.5214449293296443e-09,1.5214449293296443e-09,2.5438405243138006e-16,8.479468414379335e-17,2.4997330171197716e-16,4.0031327507945426e-10,3.2175856380309287e-10,1.3775037697394152e-09,0.9053918816637628,0.9053918845077836,2.844020796644031e-09,3.1412042119827575e-09,0.9999999999988614,2.273736756686861e-13,3.219859374785361e-10,2.273795301349635e-13,5.551115123125783e-17,3.925231146709438e-17,0.0,2.2736757085641188e-13,0.0,3.925231146709438e-17,9,8,0.011838099919259548,0.005300199962221086
0.5,0.2,3,2,4,4,1e-12,0.6475368563718839,1.6649631436281154,0.14999999999999994,0.4154700538379249,0.2,0.26666666666666666,CLARABEL,1.9.2,optimal,optimal,0.9657698088049511,0.9657698105388025,1.733851395790964e-09,1.733851395790964e-09,1.7953050286175805e-09,1.7953050286175805e-09,1.4567449680423278e-12,4.855816560141092e-13,1.2002572281990584e-12,2.4803894990180227e-10,4.706997032921067e-10,1.733796735468023e-09,0.9657698086886524,0.9657698124225108,3.733858444654459e-09,3.866199174839054e-09,0.9999999999988625,2.27373675552417e-13,4.709270769675499e-10,2.274273300526753e-13,5.551115123125783e-17,3.925231146709438e-17,0.0,2.2735558944872552e-13,0.0,3.925231146709438e-17,9,9,0.006893999991007149,0.004958100034855306
0.5,0.2,5,1,6,6,1e-12,0.2752551286084109,2.724744871391589,0.05119386982178897,0.46880613017821093,0.16,0.2,CLARABEL,1.9.2,optimal,optimal,0.8791257966539693,0.8791257964518311,-2.021381950711998e-10,2.021381950711998e-10,-2.2993091075679338e-10,2.2993091075679338e-10,5.068792536148057e-16,1.469432557888508e-16,3.8129349475265265e-16,1.871707906257203e-11,6.122168744182588e-11,2.021384443736426e-10,0.8791257966326638,0.8791257968212076,1.8854384720157213e-10,2.1446742650885438e-10,0.9999999999976115,3.410605131950338e-13,6.156274795499073e-11,3.410605131648481e-13,3.236549603844146e-16,2.378992433438748e-16,0.0,3.410408796774192e-13,0.0,2.378992433438748e-16,13,9,0.012266600038856268,0.008134600007906556
0.5,0.2,5,2,6,6,1e-12,0.6031218345148048,1.9040859803476216,0.09759594482625607,0.3275680953722995,0.16,0.2,CLARABEL,1.9.2,optimal,optimal,0.9577516676500517,0.9577516683449392,6.948874808898609e-10,6.948874808898609e-10,7.255403504989542e-10,7.255403504989542e-10,3.237409532232398e-16,9.385183820318695e-17,2.560543307818431e-16,5.268603422389986e-10,3.7840627658235204e-10,6.948874774103554e-10,0.9577516672346011,0.9577516706174232,3.3828220225018413e-09,3.5320450303106386e-09,0.9999999999976099,3.410605138067048e-13,3.787473370955169e-10,3.411199274439003e-13,1.9432387554006661e-16,1.4415195381013642e-16,0.0,3.408699687137231e-13,0.0,1.4415195381013642e-16,9,10,0.011134999920614064,0.008392599993385375
0.5,0.5,3,1,4,4,1e-12,0.34861218113400255,2.151387818865997,0.09549150281252633,0.6545084971874737,0.16666666666666666,0.5,CLARABEL,1.9.2,optimal,optimal,0.9013441480451858,0.9013441489003011,8.551153118929733e-10,8.551153118929733e-10,9.487112257198305e-10,9.487112257198305e-10,7.598296276813956e-13,2.532765425604652e-13,7.29402596162515e-13,0.0,5.617220216530203e-10,8.550890297555216e-10,0.9013441480445277,0.9013441511480986,3.1035709557869495e-09,3.4432696514166673e-09,0.9999999999988616,2.2737367544327386e-13,5.619493953284635e-10,2.2738203735248735e-13,2.844205973472036e-16,2.22054006930075e-16,0.0,2.7296832573057085e-11,0.0,2.22054006930075e-16,9,9,0.0072484000120311975,0.004991100053302944
0.5,0.5,3,2,4,4,1e-12,0.6475368563718839,1.6649631436281154,0.11177043003931122,0.5489393063183035,0.16666666666666666,0.5,CLARABEL,1.9.2,optimal,optimal,0.9695827079615158,0.9695827080934638,1.3194800807525553e-10,1.3194800807525553e-10,1.3608741882751742e-10,1.3608741882751742e-10,2.96997628699179e-16,9.8999209566393e-17,2.378011082418649e-16,1.6060015092383097e-10,6.888950118739705e-10,9.719049897126954e-10,0.9695827079362695,0.9695827108499533,2.913683738725581e-09,3.0050904481881036e-09,0.999999999998862,2.2737367547974827e-13,6.891223855494137e-10,2.2735840476953713e-13,1.962615573354719e-17,1.3877787807814457e-17,0.0,4.551256286493179e-13,0.0,1.3877787807814457e-17,8,9,0.006696700002066791,0.005000299890525639
0.5,0.5,5,1,6,6,1e-12,0.2752551286084109,2.724744871391589,0.058452405257735006,0.6415475947422652,0.1,0.5,CLARABEL,1.9.2,optimal,optimal,0.8919264027415403,0.8919264030431239,3.0158353592213416e-10,3.0158353592213416e-10,3.38126032533807e-10,3.38126032533807e-10,3.226399130518884e-16,9.353264891623373e-17,2.5354194640959752e-16,7.128364281309995e-11,2.5158831028040645e-10,1.6191170594375828e-09,0.8919264025702196,0.8919264045547001,1.9844804688418094e-09,2.2249374622340575e-09,0.9999999999976101,3.4106051328437175e-13,2.519293707935713e-10,3.4105597687989907e-13,2.4941438852581805e-16,2.2291904762048194e-16,0.0,3.410582483571225e-13,0.0,2.2291904762048194e-16,8,9,0.01066909998189658,0.008009299985133111
0.5,0.5,5,2,6,6,1e-12,0.6031218345148048,1.9040859803476216,0.06125156261081244,0.5405465423108543,0.1,0.5,CLARABEL,1.9.2,optimal,optimal,0.965824766936101,0.9658247660043442,-9.317567828404094e-10,9.317567828404094e-10,-9.647265375536799e-10,9.647265375536799e-10,3.6444059020614696e-16,1.0565057947153152e-16,2.558434884316819e-16,9.390982942295301e-11,4.5161701270396663e-10,1.5087751091713451e-09,0.9658247668234634,0.9658247687160928,1.8926293865462185e-09,1.959599142312906e-09,0.9999999999976092,3.4106051324399823e-13,4.519580732171315e-10,3.410554887926903e-13,3.731873646085864e-16,2.354061955565644e-16,0.0,3.4105789033737223e-13,0.0,2.354061955565644e-16,8,8,0.010719700017943978,0.007822100073099136
0.8,0.2,3,1,4,4,1e-12,0.11369727773288657,3.1663027222671127,0.02450559951430104,0.783494400485699,0.2,0.26666666666666666,CLARABEL,1.9.2,optimal,optimal,0.7055383674194531,0.7055383677179692,2.985161007273973e-10,2.985161007273973e-10,4.231039932754973e-10,4.231039932754973e-10,3.266443309152217e-16,1.0888144363840724e-16,2.377414041788015e-16,1.4496207553645416e-11,4.0403853873716145e-11,2.985162123219764e-10,0.7055383674087266,0.7055383678804941,4.717675139431776e-10,6.686631593376558e-10,0.9999999999988627,2.2737367544981164e-13,4.0631227549159377e-11,2.2737367544323206e-13,1.3311106448512297e-16,1.28740743822375e-16,0.0,2.27324334613882e-13,0.0,1.28740743822375e-16,8,10,0.006667999899946153,0.005079899914562702
0.8,0.2,3,2,4,4,1e-12,0.23962645529874033,2.809973544701259,0.05794819040042411,0.6995692405134355,0.2,0.26666666666666666,CLARABEL,1.9.2,optimal,optimal,0.7852946843224895,0.7852946859891452,1.6666557023370387e-09,1.6666557023370387e-09,2.122331570353545e-09,2.122331570353545e-09,8.777154107255594e-14,2.9257180357518644e-14,7.211410947511538e-14,6.016798146588051e-10,4.5252251945626654e-10,1.6666478773533925e-09,0.785294684055017,0.7852946878001448,3.745127763465916e-09,4.7690731015736025e-09,0.9999999999988611,2.273736757129217e-13,4.5274989313170977e-10,2.2734331778240247e-13,1.0007415106216802e-16,7.076311083754596e-17,0.0,2.273818934227312e-13,0.0,7.076311083754596e-17,11,11,0.006902600056491792,0.005054699955508113
