schema_version,schedule,lambda_target,n,external_M_n,c,lambda,h,p1_squared,P_tr,P_SRM,repaired_primal_value,shifted_dual_value,strongest_measurement_value,floating_primal_dual_span,floating_primal_dual_span_relative,repaired_primal_over_p1_squared,shifted_dual_over_p1_squared,strongest_measurement_over_p1_squared,repaired_primal_over_P_SRM,P_SRM_over_shifted_dual,primal_completeness_residual_fro,primal_completeness_residual_op,primal_psd_violation,primal_min_eigenvalue,dual_min_slack_after_shift,dual_psd_violation_after_shift,artifact_recomputation_status,artifact_recomputation_reason,diagnostic_kind,legacy_bound_fields_status,P_SRM_transfer_budget,P_SRM_safe_lower,L_raw,U_raw,L_safe,U_safe,strongest_certified_lower,P_tr_over_p1_squared,P_SRM_over_p1_squared,L_safe_over_p1_squared,U_safe_over_p1_squared,strongest_lower_over_p1_squared,P_tr_over_P_SRM,L_safe_over_P_SRM,P_SRM_over_U_safe,L_safe_over_U_safe,raw_safe_gap,raw_safe_gap_relative,safe_gap,safe_gap_relative,primal_feasible_equality_residual_fro,primal_feasible_equality_residual_op,primal_feasible_psd_violation,primal_feasible_min_eigenvalue,dual_feasible_min_slack,dual_feasible_psd_violation,P_opt,P_opt_status,srm_status,sdp_status,primal_status,dual_status,status,solver,cvxpy_version,gram_bytes,estimated_peak_bytes,estimated_dense_array_count,estimated_peak_scope,eigensolver_dimension,eigensolver_cubic_work_units,source_gram_lambda_min,source_gram_lambda_max,source_gram_factorization_residual_fro_relative,source_gram_factorization_residual_op_relative,source_gram_support_rank,trusted_source_snapshot_sha256,trusted_source_snapshot_pre_sha256,trusted_source_snapshot_post_sha256,trusted_source_snapshot_validation_status,trusted_source_snapshot_validation_reason,trusted_source_snapshot_validation_phase,srm_sqrt_reconstruction_residual_fro_relative,srm_sqrt_reconstruction_residual_op_relative,srm_sqrt_support_rank,source_reconstructed_sqrt_residual_fro_relative,source_reconstructed_sqrt_residual_op_relative,spectral_audit_status,source_target_trace,source_reconstructed_trace,source_difference_trace_norm,source_difference_fro_norm,source_difference_op_norm,source_difference_trace_norm_relative,source_difference_fro_norm_relative,source_difference_op_norm_relative,source_lambda_min_target,source_lambda_max_target,source_lambda_min_reconstructed,source_lambda_max_reconstructed,source_sqrt_difference_computed_fro,source_sqrt_difference_bound_trace,source_sqrt_difference_bound_spectral,source_sqrt_difference_bound,source_transfer_delta,source_transfer_budget,source_transfer_status,hull_subtraction_max_abs_error,hull_subtraction_max_elementwise_envelope,hull_subtraction_fro_error,hull_subtraction_fro_envelope,hull_subtraction_audit_status,hull_subtraction_audit_kind,certificate_rank,certificate_expected_rank,certificate_rank_tolerance,certificate_probability_scale,certificate_probability_tolerance,certificate_residual_tolerance,certificate_completeness_tolerance,certificate_primal_psd_tolerance,certificate_dual_psd_tolerance,certificate_validation_status,certificate_validation_reason,certificate_input_factor_pre_sha256,certificate_input_factor_post_sha256,certificate_input_factor_max_abs_error,certificate_input_factor_pre_writeable,certificate_input_factor_post_writeable,certificate_input_factor_validation_status,certificate_input_factor_validation_reason,certificate_source_binding_status,certificate_source_binding_reason,certificate_artifact_schema,certificate_artifact_source_states_sha256,certificate_artifact_source_gram_sha256,certificate_artifact_source_states_max_abs_error,certificate_artifact_source_gram_max_abs_error,certificate_artifact_primal_symmetry_error_fro,certificate_artifact_primal_completeness_fro,certificate_artifact_primal_completeness_op,certificate_artifact_primal_psd_violation,certificate_artifact_primal_min_eigenvalue,certificate_artifact_primal_objective,certificate_artifact_dual_symmetry_error_fro,certificate_artifact_dual_min_slack,certificate_artifact_dual_psd_violation,certificate_artifact_dual_trace,certificate_artifact_validation_status,certificate_artifact_validation_reason,enclosure_kind,numeric_guarantee,diagnostic_grid_scope,interpretation
weighted_hull_diagnostics_v8_route_b,compact_lambda,0.25,5,15,0.95,0.2500000000000002,1.3253731265931483,0.07026455698781191,0.22343591945285693,0.22406703171108486,0.22479325054605168,0.224793251515468,0.22479325054605168,9.69416324991812e-10,4.312479669859665e-09,3.1992409855376205,3.1992409993342825,3.1992409855376205,1.0032410784818322,0.9967693878731356,3.636864678107348e-16,2.30267223036987e-16,0.0,5.800760296155959e-12,8.526521547256279e-13,0.0,passed,passed,residual_checked_floating_primal_dual_span,deprecated_blank,,,,,,,,3.1799235493879814,3.1889054925650715,,,,0.997183377432153,,,,,,,,,,,,,,,not_computed,computed,computed_residual_checked_diagnostic,optimal,optimal,sdp_floating_diagnostic,CLARABEL,1.9.2,1800,28800,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,15,3375,0.0010347719576614591,13.314812775443261,1.1249480268805788e-15,1.078161932649529e-15,15,a9713ea23a38d0d64799fd47cf8c759f01749692bf448893a7e11247fd6849ed,,,not_computed,not_computed,not_computed,1.7532388289994943e-15,1.7281808861060734e-15,15,6.16515023730285e-16,4.823921074221209e-16,passed,0.9999999999999999,0.9999999999999991,1.5389757692674791e-15,1.000404665923159e-15,9.570349516559026e-16,1.5389757692674793e-15,1.1249480268805788e-15,1.078161932649529e-15,6.898479717746206e-05,0.8876541850295506,6.8984797177458e-05,0.8876541850295496,6.952081749992486e-15,3.922978166224583e-08,6.022391952558636e-14,6.022391952558636e-14,1.2044783905117269e-13,1.204478390511727e-13,passed,3.191891195797325e-16,6.394884621840902e-14,1.2341237827737877e-15,8.530357306554524e-13,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,0.5,5,15,0.9,0.4999999999999999,2.002454790823206,0.16039300757163244,0.32182389648390414,0.32283324929704543,0.3235023807166622,0.32350238214180943,0.3235023807166622,1.4251472224557915e-09,4.405368566869527e-09,2.016935685754157,2.0169356946395025,2.016935685754157,1.0020726843380408,0.9979315984001914,3.6872617640978336e-16,2.277830182583905e-16,0.0,1.7052970688170706e-12,8.526522856256316e-13,0.0,passed,passed,residual_checked_floating_primal_dual_span,deprecated_blank,,,,,,,,2.0064708640130444,2.012763861621999,,,,0.9968734545919942,,,,,,,,,,,,,,,not_computed,computed,computed_residual_checked_diagnostic,optimal,optimal,sdp_floating_diagnostic,CLARABEL,1.9.2,1800,28800,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,15,3375,0.004325449821945852,11.796408653357716,8.632714955158859e-16,7.999315342903667e-16,15,addb427fed0ac58d25b56f53d2ffc714e4755d0fa92344c5c12691ad2770fa2f,,,not_computed,not_computed,not_computed,1.4327379692978594e-15,1.3087574092820305e-15,15,7.234630400259295e-16,5.939729712171448e-16,passed,0.9999999999999999,0.9999999999999993,1.273512546585038e-15,6.841763464073554e-16,6.290879515464396e-16,1.2735125465850383e-15,8.632714955158859e-16,7.999315342903667e-16,0.0002883633214630487,0.7864272435571812,0.00028836332146303634,0.7864272435571806,3.1231565644490397e-15,3.568630755044627e-08,2.0145036112171047e-14,2.0145036112171047e-14,4.0290072224342087e-14,4.029007222434209e-14,passed,2.498001805406602e-16,6.394884621840902e-14,9.635573039215036e-16,7.602293401891627e-13,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,1.0,5,15,0.8,0.9999999999999998,2.904359454735949,0.3374121536925639,0.48527288930006834,0.4865196925791108,0.48694609332462985,0.4869460967546731,0.48694609332462985,3.4300432494305255e-09,7.043989641504818e-09,1.443178877807452,1.443178887973189,1.443178877807452,1.0008764305988491,0.9991243298213003,3.652473564048021e-16,2.619649590326796e-16,0.0,1.7052930665346787e-12,8.526478317771308e-13,0.0,passed,passed,residual_checked_floating_primal_dual_span,deprecated_blank,,,,,,,,1.4382199455157418,1.441915139258462,,,,0.9974373015151082,,,,,,,,,,,,,,,not_computed,computed,computed_residual_checked_diagnostic,optimal,optimal,sdp_floating_diagnostic,CLARABEL,1.9.2,1800,28800,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,15,3375,0.018910955607415465,9.206325380037992,5.814055671045774e-16,3.603449856847398e-16,15,78a04931e6d4589beca3ee5c4830a53ef7cb75e9c84d7bb283749dbf3f460b78,,,not_computed,not_computed,not_computed,9.71161193664826e-16,5.563111925817515e-16,15,1.699821274161726e-15,1.7189089347784728e-15,passed,0.9999999999999999,0.9999999999999998,1.0248690105458856e-15,3.692313176564408e-16,2.2116354581858975e-16,1.0248690105458858e-15,5.814055671045774e-16,3.603449856847398e-16,0.0012607303738276698,0.6137550253358662,0.0012607303738276896,0.6137550253358659,2.4611645701630093e-15,3.201357541022067e-08,5.199450241998024e-15,5.199450241998024e-15,1.0398900483996047e-14,1.0398900483996048e-14,passed,1.3877787807814457e-16,6.394884621840902e-14,7.879846534485585e-16,6.091767456601905e-13,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,2.0,5,15,0.6,2.0,3.975212789632823,0.6320926689144148,0.7290631073841807,0.7298537162813579,0.7299592739488542,0.7299592751449209,0.7299592739488542,1.1960666901345007e-09,1.6385389320204792e-09,1.15482952080827,1.1548295227005032,1.15482952080827,1.0001446285264315,0.9998553907496524,3.3177238410212313e-16,1.8745861937534046e-16,0.0,1.7052917911892368e-12,8.526478427893635e-13,0.0,passed,passed,residual_checked_floating_primal_dual_span,deprecated_blank,,,,,,,,1.1534117436234586,1.154662523668946,,,,0.9989167570438562,,,,,,,,,,,,,,,not_computed,computed,computed_residual_checked_diagnostic,optimal,optimal,sdp_floating_diagnostic,CLARABEL,1.9.2,1800,28800,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,15,3375,0.0906105493055555,5.482796404989575,1.2027506597039742e-15,9.681251033364398e-16,15,7b107a683fa86611401b0e3d3405220aa209fe901df4011c567cd883a7fdc6a4,,,not_computed,not_computed,not_computed,1.0818588851996745e-15,7.364825214116739e-16,15,1.6348103852934493e-15,1.5144905324092605e-15,passed,0.9999999999999999,0.9999999999999998,1.3752621057637164e-15,5.173636456283244e-16,3.538688557435459e-16,1.3752621057637166e-15,1.2027506597039742e-15,9.681251033364398e-16,0.0060407032870370345,0.36551976033263806,0.006040703287037055,0.36551976033263844,1.3316763642001625e-15,3.7084526500465346e-08,3.328297666278438e-15,3.328297666278438e-15,6.656595332556875e-15,6.656595332556876e-15,passed,1.1102230246251565e-16,6.394884621840902e-14,5.0075550796693e-16,4.1261430138925227e-13,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,4.0,5,15,0.19999999999999996,4.0,4.898724375225501,0.959900020177139,0.9728522165009048,0.9728722080866471,0.9728724484614216,0.9728724511501692,0.9728724484614216,2.6887475579329134e-09,2.7637205252031144e-09,1.013514353590584,1.0135143563916544,1.013514353590584,1.0000002470774398,0.9999997501589013,4.0985421321341965e-16,2.3166448646920974e-16,0.0,1.7052528080238654e-12,8.526749909081666e-13,0.0,passed,passed,residual_checked_floating_primal_dual_span,deprecated_blank,,,,,,,,1.0134932764366185,1.0135141031741142,,,,0.9999794509642931,,,,,,,,,,,,,,,not_computed,computed,computed_residual_checked_diagnostic,optimal,optimal,sdp_floating_diagnostic,CLARABEL,1.9.2,1800,28800,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,15,3375,0.5246213923529199,1.8044393271683314,1.6210450255862241e-15,1.904672071250436e-15,15,e7617a14a3d698912786282f75fe861359f1501db7575780fc766bdf80ad7e6b,,,not_computed,not_computed,not_computed,2.4132732376239818e-15,3.686005944717066e-15,15,2.6882437844608828e-15,3.2592706658218938e-15,passed,0.9999999999999999,0.9999999999999992,1.3897757253493542e-15,4.418018086817515e-16,2.291243460482299e-16,1.3897757253493544e-15,1.6210450255862241e-15,1.904672071250436e-15,0.034974759490194636,0.1202959551445554,0.034974759490194525,0.12029595514455531,1.7255578667187977e-15,3.727969588595586e-08,1.1811909898147114e-15,1.1811909898147114e-15,2.3623819796294223e-15,2.3623819796294227e-15,passed,3.3306690738754696e-16,6.394884621840902e-14,8.07145403026526e-16,2.614305785138864e-13,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,0.25,8,36,0.96875,0.25,1.573675162585562,0.03869458620841711,0.11636042351616441,0.11677142159590542,,,,,,,,,,,,,,,,,not_computed,outside_small_sdp_cutoff,full_physical_gram_srm_only,deprecated_blank,,,,,,,,3.007149963806898,3.0177715550943014,,,,0.9964803196353702,,,,,,,,,,,,,,,not_computed,computed,not_computed,not_computed,not_computed,srm_only,CLARABEL,,10368,165888,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,36,46656,0.00030136103459864387,32.137331332296384,1.822077309783429e-15,1.75204047977785e-15,36,4d4523ae89d1f0f6901e0861e1070b208638efcb6f03903aa329bec5278efadb,,,not_computed,not_computed,not_computed,2.4279828753717416e-15,2.3492373184051733e-15,36,4.282642874037948e-15,4.256388730517359e-15,passed,1.0,0.9999999999999987,3.4791628359370305e-15,1.6289007253960683e-15,1.5640529279504529e-15,3.4791628359370305e-15,1.822077309783429e-15,1.75204047977785e-15,8.371139849943803e-06,0.8927036481193439,8.371139850012305e-06,0.8927036481193423,4.898673988943646e-14,5.8984428758249665e-08,2.814960611504467e-13,2.814960611504467e-13,5.629921223008932e-13,5.629921223008933e-13,passed,7.28583859910259e-17,8.526512829121202e-14,5.165632524627081e-16,2.7441115856263424e-12,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,0.5,8,36,0.9375,0.5,2.431154271398217,0.09235173580215306,0.1799151487433371,0.18065860396983133,,,,,,,,,,,,,,,,,not_computed,outside_small_sdp_cutoff,full_physical_gram_srm_only,deprecated_blank,,,,,,,,1.9481512413450774,1.95620149854963,,,,0.99588475051751,,,,,,,,,,,,,,,not_computed,computed,not_computed,not_computed,not_computed,srm_only,CLARABEL,,10368,165888,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,36,46656,0.0012433957575189018,28.685461760337795,1.2237274916363546e-15,1.0231271887707617e-15,36,85dcceb6fd6189eef391d40652190a09e719859a81f8ade6631d798ac2e4072d,,,not_computed,not_computed,not_computed,1.057201180533116e-15,8.020669667120317e-16,36,1.5954497261710514e-15,1.3925720558117898e-15,passed,1.0,1.0000000000000009,2.965431389678093e-15,9.808108737974268e-16,8.152465513734884e-16,2.965431389678093e-15,1.2237274916363546e-15,1.0231271887707617e-15,3.4538771042199455e-05,0.7968183822316055,3.453877104218584e-05,0.7968183822316061,1.7146204435759478e-14,5.445577462196358e-08,8.344529150226181e-14,8.344529150226181e-14,1.6689058300452366e-13,1.6689058300452368e-13,passed,1.1102230246251565e-16,8.526512829121202e-14,8.93798490114984e-16,2.460223178764517e-12,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,1.0,8,36,0.875,1.0,3.629598250782637,0.2058434915950684,0.29588487989355156,0.29698205476067707,,,,,,,,,,,,,,,,,not_computed,outside_small_sdp_cutoff,full_physical_gram_srm_only,deprecated_blank,,,,,,,,1.437426452499217,1.4427565936594915,,,,0.99630558530545,,,,,,,,,,,,,,,not_computed,computed,not_computed,not_computed,not_computed,srm_only,CLARABEL,,10368,165888,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,36,46656,0.00529784818357368,22.84829454252627,7.382596123844167e-16,3.541326318944105e-16,36,7da8c16a5e32e7883c96c66aa961ede23e043c467fcc9ca0f975d9dfa5ad1408,,,not_computed,not_computed,not_computed,2.055271916990737e-15,1.989474441583149e-15,36,8.522962709965281e-16,5.6607400452274e-16,passed,1.0,0.9999999999999998,2.024389182679491e-15,4.801331021832133e-16,2.247590744623203e-16,2.024389182679491e-15,7.382596123844167e-16,3.541326318944105e-16,0.00014716244954374145,0.6346748484035076,0.00014716244954369502,0.6346748484035079,8.696609775773277e-15,4.4993212629012066e-08,1.9789423797433403e-14,1.9789423797433403e-14,3.95788475948668e-14,3.9578847594866806e-14,passed,5.551115123125783e-17,8.526512829121202e-14,8.284934714164083e-16,1.9963031367818102e-12,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,2.0,8,36,0.75,2.0,5.180182012592913,0.4192857138061119,0.4970202152261079,0.4980747616674941,,,,,,,,,,,,,,,,,not_computed,outside_small_sdp_cutoff,full_physical_gram_srm_only,deprecated_blank,,,,,,,,1.1853974482325014,1.1879125504805923,,,,0.9978827547136584,,,,,,,,,,,,,,,not_computed,computed,not_computed,not_computed,not_computed,srm_only,CLARABEL,,10368,165888,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,36,46656,0.02416158054300639,14.491066281716712,7.350227150219071e-15,5.854897299698312e-15,36,cf38d5fe1e70439849ad46cf9ab73b4ae25be6fadea7df14c5f33ac00730699b,,,not_computed,not_computed,not_computed,7.406982391534933e-15,5.897675699911452e-15,36,7.375986029006205e-15,5.997854506611145e-15,passed,1.0,0.9999999999999997,6.117016482121969e-15,3.2834049334556726e-15,2.3567695789603447e-15,6.117016482121969e-15,7.350227150219071e-15,5.854897299698312e-15,0.000671155015083506,0.4025296189365753,0.0006711550150835065,0.40252961893657524,7.25484978166858e-15,7.821135775654306e-08,6.336990132469195e-14,6.336990132469195e-14,1.2673980264938388e-13,1.267398026493839e-13,passed,5.551115123125783e-17,8.526512829121202e-14,4.600648876932005e-16,1.3711899969637103e-12,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
weighted_hull_diagnostics_v8_route_b,compact_lambda,4.0,8,36,0.5,4.0,6.910317722814831,0.7461326723476368,0.788949583809395,0.7893289652566751,,,,,,,,,,,,,,,,,not_computed,outside_small_sdp_cutoff,full_physical_gram_srm_only,deprecated_blank,,,,,,,,1.0573851180206848,1.0578935818118314,,,,0.9995193620607135,,,,,,,,,,,,,,,not_computed,computed,not_computed,not_computed,not_computed,srm_only,CLARABEL,,10368,165888,16,conservative_dense_linear_algebra_array_proxy_not_process_peak,36,46656,0.12829279471962224,5.844185309272742,1.758658638515495e-15,1.7696076337949375e-15,36,2b38f6edc4a9d08f6c7c9bf79034d6b3f7a4ab648f8528b41d81193a342c9226,,,not_computed,not_computed,not_computed,2.725758863342066e-15,2.7869640547820913e-15,36,2.6032698779482393e-15,2.0909016806872834e-15,passed,1.0,1.0000000000000002,1.7673715100336491e-15,4.459520187722601e-16,2.8727541490559085e-16,1.7673715100336491e-15,1.758658638515495e-15,1.7696076337949375e-15,0.0035636887422117298,0.1623384808131317,0.003563688742211724,0.16233848081313185,1.7295367907363538e-15,4.204011786417409e-08,3.7351517949375976e-15,3.7351517949375976e-15,7.470303589875195e-15,7.470303589875197e-15,passed,1.1102230246251565e-16,8.526512829121202e-14,4.872288276615963e-16,7.783600463133552e-13,passed,empirical_ieee_double_consistency_envelope_not_error_bound_or_proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ieee_double_residual_checked_not_directed_rounding_proof,default_srm_cutoff_n48_frozen_grid_through_n32,finite_size_diagnostic_not_proof
